_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
65d196822c98ce4374c65c2b,,37.2,89.83,45.99,66.58,93;6;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708234370000
65d1965e2c98ce4374c65b29,,49.58,99.2,49.58,78.46,124;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234334000
65d196372c98ce4374c659bc,,45.19,95,47.19,66.47,113;2;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234295000
65d196122c98ce4374c65894,,43.19,90.48,49.59,78.35,108;8;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234258000
65d195ec2c98ce4374c65772,,47.59,96.8,49.99,72.23,119;2;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708234220000
65d195c32c98ce4374c6564b,,45.98,96.03,50.38,72.92,115;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234179000
65d1959c2c98ce4374c65523,true,48.19,99.59,48.19,72.48,241;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1708234140000
65d0f07e2c98ce4374c1f963,true,44.59,97.85,46.39,72.15,223;2;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1708191870000
65d0f0122c98ce4374c1f535,,45.6,97.5,47.6,75,114;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708191762000
65d0efec2c98ce4374c1f3ca,,48.78,99.19,48.78,76.99,122;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191724000
65d0efc92c98ce4374c1f271,,45.2,99.13,45.2,71.36,113;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708191689000
65d0efa42c98ce4374c1f122,,47.59,99.17,47.59,75,119;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191652000
65d0ef7e2c98ce4374c1efc8,,45.18,99.12,45.18,71.66,113;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191614000
65d0ef562c98ce4374c1ee47,true,49.58,99.2,49.58,79.37,124;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191574000
65d0ef312c98ce4374c1ece9,,48.79,100,48.79,75.47,122;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191537000
65d0ef092c98ce4374c1eb50,,45.19,96.69,47.99,74.81,113;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191497000
65d0eee42c98ce4374c1ea04,,44.39,95.93,49.19,76.14,111;3;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708191460000
65d0eeaf2c98ce4374c1e804,true,49.19,99.19,49.19,71.56,123;0;0;0,time,30,-1,1,30.01,0,1.84,false,false,english,none,normal,false,false,false,,1708191407000
